WARNING:easyocr.easyocr:Using CPU. Note: This module is much faster with a GPU.
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.05 MB
INFO:root:[Frame Total] CPU Time: 0.1250 s, Memory: 1246.58 MB
INFO:root:[YOLO] CPU Time: 0.2656 s, Memory: 1269.55 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.55 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.55 MB
INFO:root:[Frame Total] CPU Time: 0.2656 s, Memory: 1269.55 MB
INFO:root:[YOLO] CPU Time: 0.2656 s, Memory: 1269.55 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.55 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1269.55 MB
INFO:root:[Frame Total] CPU Time: 0.2656 s, Memory: 1269.55 MB
INFO:root:[YOLO] CPU Time: 0.4219 s, Memory: 1269.58 MB
INFO:root:[OCR] CPU Time: 2.4688 s, Memory: 1272.54 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1272.54 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1272.54 MB
INFO:root:[Frame Total] CPU Time: 2.9531 s, Memory: 1272.54 MB
INFO:root:[YOLO] CPU Time: 0.1562 s, Memory: 1274.25 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1274.25 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1274.25 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1274.25 MB
INFO:root:[Frame Total] CPU Time: 0.1719 s, Memory: 1274.25 MB
INFO:root:[YOLO] CPU Time: 0.2344 s, Memory: 1275.58 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1275.58 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1275.58 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1275.58 MB
INFO:root:[Frame Total] CPU Time: 0.2344 s, Memory: 1275.58 MB
INFO:root:[YOLO] CPU Time: 0.1562 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[Frame Total] CPU Time: 0.1875 s, Memory: 1251.85 MB
INFO:root:[YOLO] CPU Time: 0.1250 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[Frame Total] CPU Time: 0.1719 s, Memory: 1251.85 MB
INFO:root:[YOLO] CPU Time: 0.1719 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[Frame Total] CPU Time: 0.2188 s, Memory: 1251.85 MB
INFO:root:[YOLO] CPU Time: 0.2344 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[Frame Total] CPU Time: 0.2344 s, Memory: 1251.85 MB
INFO:root:[YOLO] CPU Time: 0.2188 s, Memory: 1248.82 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1250.49 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.44 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[Frame Total] CPU Time: 0.2188 s, Memory: 1251.85 MB
INFO:root:[YOLO] CPU Time: 0.3125 s, Memory: 1231.30 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1233.18 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1234.24 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1235.12 MB
INFO:root:[Frame Total] CPU Time: 0.3125 s, Memory: 1238.24 MB
INFO:root:[YOLO] CPU Time: 0.3906 s, Memory: 1249.05 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1250.67 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.55 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[Frame Total] CPU Time: 0.4219 s, Memory: 1251.85 MB
INFO:root:[YOLO] CPU Time: 0.2656 s, Memory: 1245.68 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1247.68 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1248.80 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1249.86 MB
INFO:root:[Frame Total] CPU Time: 0.2656 s, Memory: 1251.85 MB
INFO:root:[YOLO] CPU Time: 0.2031 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1251.85 MB
INFO:root:[OCR] CPU Time: 2.4219 s, Memory: 1252.23 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1252.23 MB
INFO:root:[Frame Total] CPU Time: 2.6250 s, Memory: 1252.23 MB
INFO:root:[YOLO] CPU Time: 0.4062 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.4062 s, Memory: 1254.22 MB
INFO:root:[YOLO] CPU Time: 0.2344 s, Memory: 1234.64 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1236.45 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1237.51 MB
