epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,1107.94,0.51803,0.37376,0.88593,0.34038,0.26087,0.20378,0.15203,2.09101,3.1951,2.48792,0.000240841,0.000240841,0.000240841
105,1118.68,0.51575,0.36949,0.88009,0.34703,0.26278,0.20562,0.15449,2.09096,3.20451,2.47172,0.000236959,0.000236959,0.000236959
106,1129.25,0.53211,0.37145,0.8893,0.2796,0.27957,0.1858,0.14039,2.07238,3.22059,2.44097,0.000233081,0.000233081,0.000233081
107,1138.97,0.53372,0.38282,0.89329,0.36305,0.25478,0.20471,0.15657,2.08503,3.19549,2.44453,0.000229208,0.000229208,0.000229208
108,1149.6,0.52401,0.36774,0.88086,0.38563,0.25313,0.20972,0.16005,2.10131,3.2145,2.48496,0.000225341,0.000225341,0.000225341
109,1160.68,0.51239,0.36759,0.88559,0.38905,0.25741,0.19997,0.1479,2.06873,3.19945,2.45087,0.00022148,0.00022148,0.00022148
110,1171.45,0.50804,0.36563,0.87858,0.3821,0.25905,0.23223,0.17336,2.05113,3.1731,2.43597,0.000217627,0.000217627,0.000217627
111,1182.31,0.50771,0.36749,0.86591,0.3872,0.26052,0.23137,0.17977,2.05013,3.13173,2.49696,0.000213782,0.000213782,0.000213782
112,1192.38,0.51739,0.36918,0.88544,0.35452,0.26015,0.20964,0.16102,2.04605,3.21852,2.44399,0.000209948,0.000209948,0.000209948
113,1202.4,0.52153,0.36787,0.88367,0.38076,0.26048,0.20165,0.14895,2.06116,3.24604,2.45934,0.000206123,0.000206123,0.000206123
114,1213.25,0.51437,0.36243,0.88219,0.41648,0.26048,0.21769,0.16484,2.05681,3.12865,2.45521,0.00020231,0.00020231,0.00020231
115,1224.09,0.5095,0.35999,0.88083,0.3741,0.26119,0.2172,0.16466,2.05047,3.24459,2.47039,0.00019851,0.00019851,0.00019851
116,1234.84,0.50235,0.36275,0.8836,0.40781,0.25806,0.21912,0.16481,2.07435,3.26484,2.49731,0.000194722,0.000194722,0.000194722
117,1245.78,0.51327,0.35963,0.88569,0.40856,0.2597,0.21903,0.16714,2.05697,3.18174,2.49003,0.000190949,0.000190949,0.000190949
118,1255.48,0.50996,0.36216,0.88153,0.34911,0.26398,0.20563,0.15015,2.06649,3.308,2.47898,0.000187191,0.000187191,0.000187191
119,1265.7,0.50426,0.35451,0.8798,0.36741,0.2624,0.21883,0.1621,2.06163,3.24839,2.45984,0.00018345,0.00018345,0.00018345
120,1276.5,0.50438,0.35666,0.87564,0.42165,0.25533,0.24113,0.18573,2.05906,3.17608,2.46494,0.000179725,0.000179725,0.000179725
121,1288.39,0.47603,0.34509,0.8721,0.36675,0.25806,0.21049,0.16053,2.05896,3.19854,2.47109,0.000176018,0.000176018,0.000176018
122,1299.13,0.4928,0.35125,0.87443,0.40454,0.26344,0.22407,0.16859,2.06928,3.12028,2.47825,0.00017233,0.00017233,0.00017233
123,1309.78,0.48703,0.34444,0.86967,0.40328,0.27145,0.22387,0.1725,2.05115,3.20057,2.46134,0.000168662,0.000168662,0.000168662
124,1319.49,0.51286,0.35781,0.88202,0.36516,0.26169,0.22692,0.17559,2.07162,3.21904,2.46834,0.000165015,0.000165015,0.000165015
125,1330.1,0.48406,0.3415,0.86932,0.4208,0.26066,0.22676,0.1759,2.06978,3.18409,2.51292,0.000161389,0.000161389,0.000161389
126,1340.94,0.49338,0.34872,0.86431,0.35988,0.26281,0.22975,0.17832,2.04622,3.18323,2.48607,0.000157786,0.000157786,0.000157786
127,1351.57,0.50138,0.35069,0.88035,0.36798,0.26309,0.21543,0.16546,2.06553,3.1943,2.4894,0.000154206,0.000154206,0.000154206
128,1362.22,0.48248,0.33996,0.87192,0.33742,0.26651,0.217,0.16817,2.08375,3.18808,2.50877,0.00015065,0.00015065,0.00015065
129,1372.19,0.47397,0.34158,0.86636,0.35232,0.27094,0.21439,0.16745,2.07814,3.27218,2.51469,0.00014712,0.00014712,0.00014712
130,1382.36,0.48219,0.33346,0.85972,0.34595,0.27131,0.22303,0.16872,2.09986,3.27787,2.53459,0.000143615,0.000143615,0.000143615
131,1393.08,0.46015,0.35844,0.84766,0.34733,0.26806,0.23576,0.17523,2.07925,3.23529,2.51863,0.000140137,0.000140137,0.000140137
132,1403.95,0.49651,0.3493,0.87783,0.32211,0.26787,0.22621,0.17162,2.0793,3.25561,2.48427,0.000136687,0.000136687,0.000136687
133,1414.63,0.4988,0.3898,0.89192,0.28783,0.29047,0.225,0.17478,2.05682,3.31633,2.46568,0.000133266,0.000133266,0.000133266
134,1425.54,0.48252,0.34467,0.87229,0.291,0.29054,0.22827,0.177,2.06698,3.28647,2.51199,0.000129874,0.000129874,0.000129874
135,1435.16,0.48555,0.34315,0.88205,0.31021,0.27795,0.23496,0.17577,2.06286,3.31291,2.51177,0.000126512,0.000126512,0.000126512
136,1445.57,0.47474,0.33915,0.87026,0.36807,0.27316,0.23996,0.17666,2.06004,3.28936,2.49847,0.000123182,0.000123182,0.000123182
137,1456.27,0.48819,0.33535,0.8834,0.34936,0.27279,0.23764,0.1769,2.07093,3.16944,2.50831,0.000119883,0.000119883,0.000119883
138,1466.95,0.4977,0.37647,0.9146,0.33972,0.27227,0.2363,0.17941,2.08053,3.19818,2.52317,0.000116617,0.000116617,0.000116617
139,1477.65,0.4976,0.34901,0.88041,0.34313,0.26951,0.23845,0.18008,2.10387,3.21991,2.55864,0.000113384,0.000113384,0.000113384
140,1488.25,0.48795,0.34108,0.8708,0.38891,0.26491,0.23563,0.17899,2.09037,3.2306,2.512,0.000110186,0.000110186,0.000110186
141,1498.04,0.46547,0.32992,0.87001,0.36188,0.2643,0.22217,0.16814,2.06954,3.23469,2.47977,0.000107023,0.000107023,0.000107023
142,1510.07,0.46136,0.32528,0.85407,0.34339,0.26632,0.2261,0.17173,2.05955,3.25132,2.48151,0.000103896,0.000103896,0.000103896
143,1521.06,0.46168,0.32317,0.86445,0.36007,0.26929,0.24394,0.18454,2.06008,3.28383,2.48059,0.000100806,0.000100806,0.000100806
